Name,country,population,Oblast,date
Danilov,russia,15861,yaroslavl,2010-10-04
Gavrilov-Jam [Gavrilov-Yam],russia,17791,yaroslavl,2010-10-04
Išnja [Ishnya],russia,3127,yaroslavl,2010-10-04
Ivnjaki [Ivnyaki],russia,2709,yaroslavl,2010-10-04
Jaroslavl' [Yaroslavl],russia,591486,yaroslavl,2010-10-04
Konstantinovskij [Konstantinovsky],russia,5613,yaroslavl,2010-10-04
Krasnyj Bor [Krasny Bor],russia,1023,yaroslavl,2010-10-04
Krasnyj Profintern [Krasny Profintern],russia,1256,yaroslavl,2010-10-04
Kuznečicha [Kuznechikha],russia,3156,yaroslavl,2010-10-04
Lesnaja Poljana [Lesnaya Polyana],russia,2974,yaroslavl,2010-10-04
Ljubim [Lyubim],russia,5555,yaroslavl,2010-10-04
Myškin [Myshkin],russia,5932,yaroslavl,2010-10-04
Nekrasovskoje [Nekrasovskoye],russia,6154,yaroslavl,2010-10-04
Novyj Nekouz [Novy Nekouz],russia,3462,yaroslavl,2010-10-04
Pereslavl'-Zalesskij [Pereslavl-Zalessky],russia,41925,yaroslavl,2010-10-04
Petrovskoje [Petrovskoye],russia,4875,yaroslavl,2010-10-04
Porečje-Rybnoje [Porechye-Rybnoye],russia,1727,yaroslavl,2010-10-04
Pošechonje [Poshekhonye],russia,6084,yaroslavl,2010-10-04
Prečistoje [Prechistoye],russia,4846,yaroslavl,2010-10-04
Rostov,russia,31792,yaroslavl,2010-10-04
Rybinsk,russia,200771,yaroslavl,2010-10-04
Semibratovo,russia,7096,yaroslavl,2010-10-04
Tutajev [Tutayev],russia,41005,yaroslavl,2010-10-04
Uglič [Uglich],russia,34507,yaroslavl,2010-10-04
Amurzet,russia,5051,jewish,2010-10-04
Babstovo,russia,4465,jewish,2010-10-04
Bira,russia,3167,jewish,2010-10-04
Birobidžan [Birobidzhan],russia,75413,jewish,2010-10-04
Chingansk [Khingansk],russia,1459,jewish,2010-10-04
Izvestkovyj [Izvestkovy],russia,1809,jewish,2010-10-04
Kul'dur [Kuldur],russia,1609,jewish,2010-10-04
Leninskoje [Leninskoye],russia,6109,jewish,2010-10-04
Londoko-zavod,russia,1067,jewish,2010-10-04
Nikolajevka [Nikolayevka],russia,7912,jewish,2010-10-04
Oblučje [Obluchye],russia,9379,jewish,2010-10-04
Priamurskij [Priamursky],russia,4047,jewish,2010-10-04
Ptičnik [Ptichnik],russia,3194,jewish,2010-10-04
Smidovič [Smidovich],russia,5120,jewish,2010-10-04
Teploozërsk,russia,4311,jewish,2010-10-04
Voločajevka-2 [Volochayevka-2],russia,1937,jewish,2010-10-04
Aleksandrovskaja [Alexandrovskaya],russia,3701,kabardino-balkaria,2010-10-04
Altud,russia,5326,kabardino-balkaria,2010-10-04
Anzorej [Anzorey],russia,6551,kabardino-balkaria,2010-10-04
Argudan,russia,8185,kabardino-balkaria,2010-10-04
Atažukino [Atazhukino],russia,5516,kabardino-balkaria,2010-10-04
Aušiger [Aushiger],russia,4807,kabardino-balkaria,2010-10-04
Babugent,russia,3408,kabardino-balkaria,2010-10-04
Baksan,russia,36860,kabardino-balkaria,2010-10-04
Baksanënok [Baksanyonok],russia,7220,kabardino-balkaria,2010-10-04
Belaja Rečka [Belaya Rechka],russia,3430,kabardino-balkaria,2010-10-04
Čegem [Chegem],russia,18019,kabardino-balkaria,2010-10-04
Čegem Vtoroj [Chegem Vtoroy],russia,10769,kabardino-balkaria,2010-10-04
Chasan'ja [Khasanya],russia,10829,kabardino-balkaria,2010-10-04
Chatujej [Khatuyey],russia,3549,kabardino-balkaria,2010-10-04
Dejskoje [Deyskoye],russia,4630,kabardino-balkaria,2010-10-04
Dygulybgej [Dygulybgey],russia,20228,kabardino-balkaria,2010-10-04
Èl'brus [Elbrus],russia,3137,kabardino-balkaria,2010-10-04
Germenčik [Germenchik],russia,3838,kabardino-balkaria,2010-10-04
Islamej [Islamey],russia,11261,kabardino-balkaria,2010-10-04
Janikoj [Yanikoy],russia,2792,kabardino-balkaria,2010-10-04
Jekaterinogradskaja [Yekaterinogradskaya],russia,3675,kabardino-balkaria,2010-10-04
Kachun [Kakhun],russia,7106,kabardino-balkaria,2010-10-04
Kamennomostskoje [Kamennomostskoye],russia,5758,kabardino-balkaria,2010-10-04
Karagač [Karagach],russia,5740,kabardino-balkaria,2010-10-04
Këndelen [Kyondelen],russia,6338,kabardino-balkaria,2010-10-04
Kenže [Kenzhe],russia,9669,kabardino-balkaria,2010-10-04
Kišpek [Kishpek],russia,4554,kabardino-balkaria,2010-10-04
Kotljarevskaja [Kotlyarevskaya],russia,3468,kabardino-balkaria,2010-10-04
Kuba,russia,5058,kabardino-balkaria,2010-10-04
Kuba-Taba,russia,3068,kabardino-balkaria,2010-10-04
Lečinkaj [Lechinkay],russia,4206,kabardino-balkaria,2010-10-04
Majskij [Maysky],russia,26755,kabardino-balkaria,2010-10-04
Malka,russia,6664,kabardino-balkaria,2010-10-04
Nal'čik [Nalchik],russia,240203,kabardino-balkaria,2010-10-04
Nartan,russia,12813,kabardino-balkaria,2010-10-04
Nartkala,russia,31694,kabardino-balkaria,2010-10-04
Nižnij Čerek [Nizhny Cherek],russia,2999,kabardino-balkaria,2010-10-04
Nižnij Kurkužin [Nizhny Kurkuzhin],russia,3600,kabardino-balkaria,2010-10-04
Planovskoje [Planovskoye],russia,3456,kabardino-balkaria,2010-10-04
Primalkinskoje [Primalkinskoye],russia,4636,kabardino-balkaria,2010-10-04
Prochladnyj [Prokhladny],russia,59601,kabardino-balkaria,2010-10-04
Psygansu,russia,6419,kabardino-balkaria,2010-10-04
Šaluška [Shalushka],russia,11158,kabardino-balkaria,2010-10-04
Sarmakovo,russia,8007,kabardino-balkaria,2010-10-04
Soldatskaja [Soldatskaya],russia,4344,kabardino-balkaria,2010-10-04
Staryj Čerek [Stary Cherek],russia,6203,kabardino-balkaria,2010-10-04
Terek,russia,19170,kabardino-balkaria,2010-10-04
Tyrnyauz,russia,21000,kabardino-balkaria,2010-10-04
Uruch [Urukh],russia,4122,kabardino-balkaria,2010-10-04
Urvan',russia,5380,kabardino-balkaria,2010-10-04
Verchnij Kurkužin [Verkhny Kurkuzhin],russia,3060,kabardino-balkaria,2010-10-04
Verchnjaja Balkarija [Verkhnyaya Balkariya],russia,4177,kabardino-balkaria,2010-10-04
Zajukovo [Zayukovo],russia,11229,kabardino-balkaria,2010-10-04
Žemtala [Zhemtala],russia,3260,kabardino-balkaria,2010-10-04
Bagrationovsk,russia,6400,kaliningrad,2010-10-04
Baltijsk [Baltiysk],russia,32697,kaliningrad,2010-10-04
Bol'šoje Isakovo [Bolshoye Isakovo],russia,3187,kaliningrad,2010-10-04
Černjachovsk [Chernyakhovsk],russia,40449,kaliningrad,2010-10-04
Golubevo,russia,351,kaliningrad,2010-10-04
Gurjevsk [Guryevsk],russia,12431,kaliningrad,2010-10-04
Gusev,russia,28260,kaliningrad,2010-10-04
Gvardejsk [Gvardeysk],russia,13899,kaliningrad,2010-10-04
Jantarnyj [Yantarny],russia,5524,kaliningrad,2010-10-04
Kaliningrad,russia,431902,kaliningrad,2010-10-04
Krasnoznamensk,russia,3522,kaliningrad,2010-10-04
Laduškin [Ladushkin],russia,3787,kaliningrad,2010-10-04
Lugovoje [Lugovoye],russia,1716,kaliningrad,2010-10-04
Maloje Isakovo [Maloye Isakovo],russia,2543,kaliningrad,2010-10-04
Mamonovo,russia,7761,kaliningrad,2010-10-04
Neman,russia,11798,kaliningrad,2010-10-04
Nesterov,russia,4595,kaliningrad,2010-10-04
Ozërsk [Ozyorsk],russia,4740,kaliningrad,2010-10-04
Pionerskij [Pionersky],russia,11016,kaliningrad,2010-10-04
Polessk,russia,7581,kaliningrad,2010-10-04
Pravdinsk,russia,4323,kaliningrad,2010-10-04
Primorsk,russia,1956,kaliningrad,2010-10-04
Slavsk,russia,4614,kaliningrad,2010-10-04
Sovetsk,russia,41705,kaliningrad,2010-10-04
Svetlogorsk,russia,10772,kaliningrad,2010-10-04
Svetlyj [Svetly],russia,21375,kaliningrad,2010-10-04
Vasil'kovo [Vasilkovo],russia,4527,kaliningrad,2010-10-04
Zelenogradsk,russia,13026,kaliningrad,2010-10-04
Znamensk,russia,4036,kaliningrad,2010-10-04
Aršan [Arshan],russia,3927,kalmykia,2010-10-04
Bol'šoj Caryn [Bolshoy Tsaryn],russia,5497,kalmykia,2010-10-04
Cagan Aman [Tsagan Aman],russia,6027,kalmykia,2010-10-04
Èlista [Elista],russia,103749,kalmykia,2010-10-04
Gorodovikovsk,russia,9565,kalmykia,2010-10-04
Iki-Burul,russia,4051,kalmykia,2010-10-04
Jašalta [Yashalta],russia,4716,kalmykia,2010-10-04
Jaškul' [Yashkul],russia,7861,kalmykia,2010-10-04
Ketčenery [Ketchenery],russia,3908,kalmykia,2010-10-04
Komsomol'skij [Komsomolsky],russia,4525,kalmykia,2010-10-04
Lagan',russia,14323,kalmykia,2010-10-04
Malyje Derbety [Malye Derbety],russia,6434,kalmykia,2010-10-04
Prijutnoje [Priyutnoye],russia,6010,kalmykia,2010-10-04
Sadovoje [Sadovoye],russia,6530,kalmykia,2010-10-04
Troickoje [Troitskoye],russia,11943,kalmykia,2010-10-04
Babynino,russia,3725,kaluga,2010-10-04
Balabanovo,russia,26337,kaluga,2010-10-04
Belousovo,russia,8412,kaluga,2010-10-04
Betlica [Betlitsa],russia,3589,kaluga,2010-10-04
Borovsk,russia,12283,kaluga,2010-10-04
Chvastoviči [Khvastovichi],russia,4509,kaluga,2010-10-04
Detčino [Detchino],russia,5010,kaluga,2010-10-04
Duminiči [Duminichi],russia,6326,kaluga,2010-10-04
Ferzikovo,russia,4696,kaluga,2010-10-04
Gorodok,russia,86,kaluga,2010-10-04
Imeni L'va Tolstogo [Imeni Lva Tolstogo],russia,3681,kaluga,2010-10-04
Jermolino [Yermolino],russia,10409,kaluga,2010-10-04
Juchnov [Yukhnov],russia,7056,kaluga,2010-10-04
Kabicyno [Kabitsyno],russia,270,kaluga,2010-10-04
Kaluga,russia,324698,kaluga,2010-10-04
Kirov,russia,31882,kaluga,2010-10-04
Kondrovo,russia,16672,kaluga,2010-10-04
Kozel'sk [Kozelsk],russia,18245,kaluga,2010-10-04
Kremënki [Kremyonki],russia,11582,kaluga,2010-10-04
Ljudinovo [Lyudinovo],russia,40530,kaluga,2010-10-04
Malojaroslavec [Maloyaroslavets],russia,30392,kaluga,2010-10-04
Marinki,russia,4133,kaluga,2010-10-04
Medyn',russia,8300,kaluga,2010-10-04
Meščovsk [Meshchovsk],russia,4100,kaluga,2010-10-04
Mosal'sk [Mosalsk],russia,4288,kaluga,2010-10-04
Mstichino [Mstikhino],russia,2658,kaluga,2010-10-04
Obninsk,russia,104739,kaluga,2010-10-04
Peremyšl' [Peremyshl],russia,3279,kaluga,2010-10-04
Pjatovskij [Pyatovsky],russia,2984,kaluga,2010-10-04
Polotnjanyj Zavod [Polotnyany Zavod],russia,5224,kaluga,2010-10-04
Seredejskij [Seredeysky],russia,1819,kaluga,2010-10-04
Sosenskij [Sosensky],russia,12392,kaluga,2010-10-04
Spas-Demensk,russia,4896,kaluga,2010-10-04
Suchiniči [Sukhinichi],russia,16273,kaluga,2010-10-04
Tarusa,russia,9660,kaluga,2010-10-04
Tovarkovo,russia,14496,kaluga,2010-10-04
Ul'janovo [Ulyanovo],russia,3022,kaluga,2010-10-04
Vorotynsk,russia,11288,kaluga,2010-10-04
Vypolzovo,russia,4741,kaluga,2010-10-04
Žiletovo [Zhiletovo],russia,3090,kaluga,2010-10-04
Žizdra [Zhizdra],russia,5585,kaluga,2010-10-04
Žukov [Zhukov],russia,12131,kaluga,2010-10-04
Jelizovo [Yelizovo],russia,39569,kamchatka,2010-10-04
Ključi [Klyuchi],russia,5726,kamchatka,2010-10-04
Mil'kovo [Milkovo],russia,8251,kamchatka,2010-10-04
Palana,russia,3155,kamchatka,2010-10-04
Petropavlovsk-Kamčatskij [Petropavlovsk-Kamchatsky],russia,179780,kamchatka,2010-10-04
Ust'-Kamčatsk [Ust-Kamchatsk],russia,4352,kamchatka,2010-10-04
Viljučinsk [Vilyuchinsk],russia,22905,kamchatka,2010-10-04
Vulkannyj [Vulkanny],russia,1608,kamchatka,2010-10-04
Adyge-Chabl' [Adyge-Khabl],russia,3946,karachay-cherkessia,2010-10-04
Ali-Berdukovskij [Ali-Berdukovsky],russia,5354,karachay-cherkessia,2010-10-04
Beslenej [Besleney],russia,3520,karachay-cherkessia,2010-10-04
Čapajevskoje [Chapayevskoye],russia,5154,karachay-cherkessia,2010-10-04
Čerkessk [Cherkessk],russia,129069,karachay-cherkessia,2010-10-04
Chabez [Khabez],russia,6240,karachay-cherkessia,2010-10-04
Dombaj [Dombay],russia,657,karachay-cherkessia,2010-10-04
Družba [Druzhba],russia,3401,karachay-cherkessia,2010-10-04
Èl'brusskij [Elbrussky],russia,320,karachay-cherkessia,2010-10-04
Èrken-Šachar [Erken-Shakhar],russia,4184,karachay-cherkessia,2010-10-04
Ikon-Chalk [Ikon-Khalk],russia,4353,karachay-cherkessia,2010-10-04
Ispravnaja [Ispravnaya],russia,4286,karachay-cherkessia,2010-10-04
Kamennomost,russia,3174,karachay-cherkessia,2010-10-04
Karačajevsk [Karachayevsk],russia,21483,karachay-cherkessia,2010-10-04
Kardonikskaja [Kardonikskaya],russia,7091,karachay-cherkessia,2010-10-04
Kavkazskij [Kavkazsky],russia,3022,karachay-cherkessia,2010-10-04
Krasnyj Kurgan [Krasny Kurgan],russia,3761,karachay-cherkessia,2010-10-04
Krasnyj Vostok [Krasny Vostok],russia,3335,karachay-cherkessia,2010-10-04
Kumyš [Kumysh],russia,4896,karachay-cherkessia,2010-10-04
Kurdžinovo [Kurdzhinovo],russia,5994,karachay-cherkessia,2010-10-04
Kyzyl-Oktjabr' [Kyzyl-Oktyabr],russia,3515,karachay-cherkessia,2010-10-04
Mara-Ajag''y [Mara-Ayagay],russia,3980,karachay-cherkessia,2010-10-04
Mednogorskij [Mednogorsky],russia,5960,karachay-cherkessia,2010-10-04
Novaja Džeguta [Novaya Dzheguta],russia,4008,karachay-cherkessia,2010-10-04
Novyj Karačaj [Novy Karachay],russia,3035,karachay-cherkessia,2010-10-04
Ordžonikidzevskij [Ordzhonikidzevsky],russia,3039,karachay-cherkessia,2010-10-04
Pervomajskoje [Pervomayskoye],russia,5904,karachay-cherkessia,2010-10-04
Pravokubanskij [Pravokubansky],russia,3187,karachay-cherkessia,2010-10-04
Pregradnaja [Pregradnaya],russia,7466,karachay-cherkessia,2010-10-04
Psyž [Psyzh],russia,8182,karachay-cherkessia,2010-10-04
Sary-Tjuz [Sary-Tyuz],russia,4297,karachay-cherkessia,2010-10-04
Storoževaja [Storozhevaya],russia,9952,karachay-cherkessia,2010-10-04
Teberda,russia,9058,karachay-cherkessia,2010-10-04
Tereze,russia,7059,karachay-cherkessia,2010-10-04
Učkeken [Uchkeken],russia,16512,karachay-cherkessia,2010-10-04
Udarnyj [Udarny],russia,1083,karachay-cherkessia,2010-10-04
Ust'-Džeguta [Ust-Dzheguta],russia,30566,karachay-cherkessia,2010-10-04
Zejuko [Zeyuko],russia,3350,karachay-cherkessia,2010-10-04
Zelenčukskaja [Zelenchukskaya],russia,19449,karachay-cherkessia,2010-10-04
Belomorsk,russia,11217,karelia,2010-10-04
Cheljulja [Khelyulya],russia,2793,karelia,2010-10-04
Čupa [Chupa],russia,2924,karelia,2010-10-04
Kalevala,russia,4529,karelia,2010-10-04
Kem',russia,13051,karelia,2010-10-04
Kondopoga,russia,32987,karelia,2010-10-04
Kostomukša [Kostomuksha],russia,28436,karelia,2010-10-04
Lachdenpoch'ja [Lakhdenpokhya],russia,7813,karelia,2010-10-04
Louchi [Loukhi],russia,4772,karelia,2010-10-04
Medvežjegorsk [Medvezhyegorsk],russia,15533,karelia,2010-10-04
Mujezerskij [Muyezersky],russia,3328,karelia,2010-10-04
Nadvoicy [Nadvoitsy],russia,8372,karelia,2010-10-04
Olonec [Olonets],russia,9056,karelia,2010-10-04
Petrozavodsk,russia,261987,karelia,2010-10-04
Pinduši [Pindushi],russia,4598,karelia,2010-10-04
Pitkjaranta [Pitkyaranta],russia,11429,karelia,2010-10-04
Pjaozerskij [Pyaozersky],russia,2098,karelia,2010-10-04
Povenec [Povenets],russia,2209,karelia,2010-10-04
Prjaža [Pryazha],russia,3675,karelia,2010-10-04
Pudož [Pudozh],russia,9698,karelia,2010-10-04
Segeža [Segezha],russia,29631,karelia,2010-10-04
Sortavala,russia,19235,karelia,2010-10-04
Suojarvi [Suoyarvi],russia,9766,karelia,2010-10-04
Vjartsilja [Vyartsilya],russia,3080,karelia,2010-10-04
Anžero-Sudžensk [Anzhero-Sudzhensk],russia,76646,kemerovo,2010-10-04
Atamanovo,russia,2954,kemerovo,2010-10-04
Bačatskij [Bachatsky],russia,14402,kemerovo,2010-10-04
Belogorsk,russia,3278,kemerovo,2010-10-04
Belovo,russia,76764,kemerovo,2010-10-04
Berëzovskij [Beryozovsky],russia,47279,kemerovo,2010-10-04
Čistogorskij [Chistogorsky],russia,4607,kemerovo,2010-10-04
Gramoteino,russia,12996,kemerovo,2010-10-04
Gurjevsk [Guryevsk],russia,24817,kemerovo,2010-10-04
Inskoj [Inskoy],russia,12590,kemerovo,2010-10-04
Itatskij [Itatsky],russia,3726,kemerovo,2010-10-04
Ižmorskij [Izhmorsky],russia,5615,kemerovo,2010-10-04
Jaja [Yaya],russia,11688,kemerovo,2010-10-04
Jaškino [Yashkino],russia,14719,kemerovo,2010-10-04
Jurga [Yurga],russia,81533,kemerovo,2010-10-04
Kaltan,russia,21892,kemerovo,2010-10-04
Karagajlinskij [Karagaylinsky],russia,4245,kemerovo,2010-10-04
Kaz,russia,4623,kemerovo,2010-10-04
Kemerovo,russia,532981,kemerovo,2010-10-04
Kiselëvsk [Kiselyovsk],russia,98365,kemerovo,2010-10-04
Komsomol'sk [Komsomolsk],russia,2294,kemerovo,2010-10-04
Krapivinskij [Krapivinsky],russia,7450,kemerovo,2010-10-04
Krasnobrodskij [Krasnobrodsky],russia,11919,kemerovo,2010-10-04
Kuzedejevo [Kuzedeyevo],russia,3609,kemerovo,2010-10-04
Leninsk-Kuzneckij [Leninsk-Kuznetsky],russia,101666,kemerovo,2010-10-04
Malinovka,russia,8835,kemerovo,2010-10-04
Mariinsk,russia,40526,kemerovo,2010-10-04
Metallploščadka [Metallploshchadka],russia,5189,kemerovo,2010-10-04
Metallurgov,russia,3317,kemerovo,2010-10-04
Meždurečensk [Mezhdurechensk],russia,101678,kemerovo,2010-10-04
Mundybaš [Mundybash],russia,5097,kemerovo,2010-10-04
Myski,russia,43038,kemerovo,2010-10-04
Novokuzneck [Novokuznetsk],russia,547904,kemerovo,2010-10-04
Novostrojka [Novostroyka],russia,2967,kemerovo,2010-10-04
Novyj Gorodok [Novy Gorodok],russia,15750,kemerovo,2010-10-04
Osinniki,russia,46001,kemerovo,2010-10-04
Plotnikovo,russia,5190,kemerovo,2010-10-04
Polysajevo [Polysayevo],russia,27624,kemerovo,2010-10-04
Prokopjevsk [Prokopyevsk],russia,210130,kemerovo,2010-10-04
Promyšlennaja [Promyshlennaya],russia,18045,kemerovo,2010-10-04
Rudničnyj [Rudnichny],russia,3865,kemerovo,2010-10-04
Salair,russia,8262,kemerovo,2010-10-04
Šeregeš [Sheregesh],russia,10173,kemerovo,2010-10-04
Spassk,russia,1703,kemerovo,2010-10-04
Starobačaty [Starobachaty],russia,4382,kemerovo,2010-10-04
Tajga [Tayga],russia,25331,kemerovo,2010-10-04
Tajžina [Tayzhina],russia,5011,kemerovo,2010-10-04
Taštagol [Tashtagol],russia,23134,kemerovo,2010-10-04
Temirtau,russia,4352,kemerovo,2010-10-04
Tisul',russia,9049,kemerovo,2010-10-04
Tjažinskij [Tyazhinsky],russia,11120,kemerovo,2010-10-04
Topki,russia,28641,kemerovo,2010-10-04
Trudarmejskij [Trudarmeysky],russia,4769,kemerovo,2010-10-04
Verch-Čebula [Verkh-Chebula],russia,5060,kemerovo,2010-10-04
Zelenogorskij [Zelenogorsky],russia,5175,kemerovo,2010-10-04
Afanasjevo [Afanasyevo],russia,3435,kirov,2010-10-04
Arbaž [Arbazh],russia,3563,kirov,2010-10-04
Arkul',russia,2053,kirov,2010-10-04
Belaja Cholunica [Belaya Kholunitsa],russia,11232,kirov,2010-10-04
Bogorodskoje [Bogorodskoye],russia,2875,kirov,2010-10-04
Darovskoj [Darovskoy],russia,7125,kirov,2010-10-04
Dem'janovo [Demyanovo],russia,5558,kirov,2010-10-04
Doroniči [Doronichi],russia,2417,kirov,2010-10-04
Falënki,russia,5256,kirov,2010-10-04
Jaransk [Yaransk],russia,17253,kirov,2010-10-04
Jur'ja [Yurya],russia,5668,kirov,2010-10-04
Kiknur,russia,4970,kirov,2010-10-04
Kil'mez' [Kilmez],russia,5956,kirov,2010-10-04
Kirov,russia,473695,kirov,2010-10-04
Kirovo-Čepeck [Kirovo-Chepetsk],russia,80921,kirov,2010-10-04
Kirs,russia,10420,kirov,2010-10-04
Kostino,russia,3831,kirov,2010-10-04
Kotel'nič [Kotelnich],russia,24979,kirov,2010-10-04
Krasnaja Poljana [Krasnaya Polyana],russia,6779,kirov,2010-10-04
Kumëny,russia,4827,kirov,2010-10-04
Lal'sk [Lalsk],russia,3705,kirov,2010-10-04
Lebjažje [Lebyazhye],russia,3362,kirov,2010-10-04
Leninskoje [Leninskoye],russia,5054,kirov,2010-10-04
Lesnoj [Lesnoy],russia,5413,kirov,2010-10-04
Lëvincy [Lyovintsy],russia,2145,kirov,2010-10-04
Luza,russia,11260,kirov,2010-10-04
Malmyž [Malmyzh],russia,8265,kirov,2010-10-04
Mirnyj [Mirny],russia,3912,kirov,2010-10-04
Muraši [Murashi],russia,6750,kirov,2010-10-04
Murygino,russia,7665,kirov,2010-10-04
Nagorsk,russia,4903,kirov,2010-10-04
Nema,russia,3650,kirov,2010-10-04
Nižneivkino [Nizhneivkino],russia,2079,kirov,2010-10-04
Nolinsk,russia,9554,kirov,2010-10-04
Omutninsk,russia,23615,kirov,2010-10-04
Oparino,russia,4440,kirov,2010-10-04
Oriči [Orichi],russia,7962,kirov,2010-10-04
Orlov,russia,6959,kirov,2010-10-04
Pervomajskij [Pervomaysky],russia,6147,kirov,2010-10-04
Peskovka,russia,4724,kirov,2010-10-04
Pinjug [Pinyug],russia,2344,kirov,2010-10-04
Pižanka [Pizhanka],russia,3875,kirov,2010-10-04
Podosinovec [Podosinovets],russia,4029,kirov,2010-10-04
Rudničnyj [Rudnichny],russia,5084,kirov,2010-10-04
Sančursk [Sanchursk],russia,4727,kirov,2010-10-04
Slobodskoj [Slobodskoy],russia,33981,kirov,2010-10-04
Sosnovka,russia,11960,kirov,2010-10-04
Sovetsk,russia,16598,kirov,2010-10-04
Striži [Strizhi],russia,3730,kirov,2010-10-04
Stulovo,russia,3501,kirov,2010-10-04
Suna,russia,2199,kirov,2010-10-04
Sveča [Svecha],russia,4760,kirov,2010-10-04
Svetlopoljansk [Svetlopolyansk],russia,2923,kirov,2010-10-04
Tuža [Tuzha],russia,4568,kirov,2010-10-04
Uni,russia,4592,kirov,2010-10-04
Uržum [Urzhum],russia,10213,kirov,2010-10-04
Vachruši [Vakhrushi],russia,9715,kirov,2010-10-04
Verchošižemje [Verkhoshizhemye],russia,4357,kirov,2010-10-04
Vjatskije Poljany [Vyatskiye Polyany],russia,35162,kirov,2010-10-04
Vostočnyj [Vostochny],russia,7237,kirov,2010-10-04
Zujevka [Zuyevka],russia,11198,kirov,2010-10-04
Ajkino [Aykino],russia,3367,komi,2010-10-04
Blagojevo [Blagoyevo],russia,2221,komi,2010-10-04
Borovoj [Borovoy],russia,1560,komi,2010-10-04
Inta,russia,32080,komi,2010-10-04
Iz''jaju [Izayayu],russia,1323,komi,2010-10-04
Ižma [Izhma],russia,3753,komi,2010-10-04
Jarega [Yarega],russia,7806,komi,2010-10-04
Jeleckij [Yeletsky],russia,631,komi,2010-10-04
Jemva [Yemva],russia,14570,komi,2010-10-04
Komsomol'skij [Komsomolsky],russia,1047,komi,2010-10-04
Kortkeros,russia,4624,komi,2010-10-04
Kožva [Kozhva],russia,3047,komi,2010-10-04
Kožym [Kozhym],russia,10,komi,2010-10-04
Krasnozatonskij [Krasnozatonsky],russia,8603,komi,2010-10-04
Meždurečensk [Mezhdurechensk],russia,1418,komi,2010-10-04
Mikun',russia,10730,komi,2010-10-04
Mul'da [Mulda],russia,0,komi,2010-10-04
Nižnij Odes [Nizhny Odes],russia,9680,komi,2010-10-04
Ob''jačevo [Obayachevo],russia,5699,komi,2010-10-04
Oktjabr'skij [Oktyabrsky],russia,0,komi,2010-10-04
Parma,russia,1248,komi,2010-10-04
Pečora [Pechora],russia,43105,komi,2010-10-04
Promyšlennyj [Promyshlenny],russia,0,komi,2010-10-04
Putejec [Puteyets],russia,1116,komi,2010-10-04
Sedkyrkešč [Sedkyrkeshch],russia,1999,komi,2010-10-04
Severnyj [Severny],russia,9023,komi,2010-10-04
Sindor,russia,2478,komi,2010-10-04
Sosnogorsk,russia,27757,komi,2010-10-04
Šudajag [Shudayag],russia,3411,komi,2010-10-04
Syktyvkar,russia,235006,komi,2010-10-04
Troicko-Pečorsk [Troitsko-Pechorsk],russia,7276,komi,2010-10-04
Uchta [Ukhta],russia,99591,komi,2010-10-04
Usinsk,russia,40827,komi,2010-10-04
Usogorsk,russia,5343,komi,2010-10-04
Ust'-Cil'ma [Ust-Tsilma],russia,4877,komi,2010-10-04
Ust'-Kulom [Ust-Kulom],russia,5141,komi,2010-10-04
Verchnjaja Inta [Verkhnyaya Inta],russia,1106,komi,2010-10-04
Verchnjaja Maksakovka [Verkhnyaya Maksakovka],russia,4198,komi,2010-10-04
Vizinga,russia,6810,komi,2010-10-04
Vodnyj [Vodny],russia,6382,komi,2010-10-04
Vojvož [Voyvozh],russia,3387,komi,2010-10-04
Vorgašor [Vorgashor],russia,12044,komi,2010-10-04
Vorkuta,russia,70548,komi,2010-10-04
Vuktyl,russia,12356,komi,2010-10-04
Vyl'gort [Vylgort],russia,10289,komi,2010-10-04
Zapoljarnyj [Zapolyarny],russia,1948,komi,2010-10-04
Žešart [Zheshart],russia,8561,komi,2010-10-04
Buj [Buy],russia,25763,kostroma,2010-10-04
Čistyje Bory [Chistye Bory],russia,4796,kostroma,2010-10-04
Čuchloma [Chukhloma],russia,5411,kostroma,2010-10-04
Galič [Galich],russia,17346,kostroma,2010-10-04
Kadyj [Kady],russia,3597,kostroma,2010-10-04
Karavajevo [Karavayevo],russia,7517,kostroma,2010-10-04
Kologriv,russia,3314,kostroma,2010-10-04
Kostroma,russia,268742,kostroma,2010-10-04
Krasnoje-na-Volge [Krasnoye-na-Volge],russia,7706,kostroma,2010-10-04
Makarjev [Makaryev],russia,7274,kostroma,2010-10-04
Manturovo,russia,17479,kostroma,2010-10-04
Neja [Neya],russia,9827,kostroma,2010-10-04
Nerechta [Nerekhta],russia,22828,kostroma,2010-10-04
Nikol'skoje [Nikolskoye],russia,4952,kostroma,2010-10-04
Ostrovskoje [Ostrovskoye],russia,5042,kostroma,2010-10-04
Ponazyrevo,russia,4840,kostroma,2010-10-04
Šar'ja [Sharya],russia,23681,kostroma,2010-10-04
Soligalič [Soligalich],russia,6438,kostroma,2010-10-04
Sudislavl',russia,4913,kostroma,2010-10-04
Susanino,russia,3406,kostroma,2010-10-04
Vetlužskij [Vetluzhsky],russia,12224,kostroma,2010-10-04
Vochma [Vokhma],russia,4386,kostroma,2010-10-04
Volgorečensk [Volgorechensk],russia,17104,kostroma,2010-10-04
Abinsk,russia,34928,krasnodar,2010-10-04
Abrau-Djurso [Abrau-Dyurso],russia,3519,krasnodar,2010-10-04
