Name,Native,Status,12/01/1989,09/10/2002,14/10/2010,01/10/2021,Oblast
Agačaul [Agachaul],Агачаул,Village,Karabudachkentskij Rajon,"1,417","1,811","5,133",dagestan
Agvali,Агвали,Village,Cumadinskij Rajon,"2,016","2,455","3,030",dagestan
Aknada,Акнада,Village,Kiziljurtovskij Rajon,"3,802","4,014","3,865",dagestan
Aksaj [Aksay],Аксай,Village,Chasavjurtovskij Rajon,"8,336","9,000","11,380",dagestan
Akuša [Akusha],Акуша,Village,Akušinskij Rajon,"4,493","4,697","3,599",dagestan
Al'burikent [Alburikent],Альбурикент,Urban Settlement,Machačkala,"6,851","12,413","10,600",dagestan
Andi,Анди,Village,Botlichskij Rajon,"4,967","5,591","7,120",dagestan
Ansalta,Ансалта,Village,Botlichskij Rajon,"5,281","4,598","5,277",dagestan
Ašaga-Stal-Kazmaljar [Ashaga-Stal-Kazmalyar],Ашага-Стал-Казмаляр,Village,Sulejman-Stal'skij Rajon,"2,732","2,978","3,224",dagestan
Atlanaul,Атланаул,Village,Bujnakskij Rajon,"2,529","2,375","3,084",dagestan
Aver'janovka [Averyanovka],Аверьяновка,Village,Kizljarskij Rajon,"2,710","3,532","4,032",dagestan
Babajurt [Babayurt],Бабаюрт,Village,Babajurtovskij Rajon,"12,943","15,227","18,039",dagestan
Bajramaul [Bayramaul],Байрамаул,Village,Chasavjurtovskij Rajon,"2,858","2,858","3,666",dagestan
Bammatjurt [Bammatyurt],Бамматюрт,Village,Chasavjurtovskij Rajon,"3,608","4,337","4,502",dagestan
Batajurt [Batayurt],Батаюрт,Village,Chasavjurtovskij Rajon,"3,823","4,069","6,484",dagestan
Batašjurt [Batashyurt],Баташюрт,Village,Chasavjurtovskij Rajon,"3,536","3,298","4,268",dagestan
Bavtugaj [Bavtugay],Бавтугай,Urban Settlement,Kiziljurt,"5,042","4,765","4,411",dagestan
Belidži [Belidzhi],Белиджи,Urban Settlement,Derbentskij Rajon,"11,584","12,236","11,957",dagestan
Belidži [Belidzhi],Белиджи,Village,Derbentskij Rajon,"3,434","4,282","4,763",dagestan
Berikej [Berikey],Берикей,Village,Derbentskij Rajon,"2,805","3,028","3,203",dagestan
Bogatyrëvka [Bogatyryovka],Богатырёвка,Village,Machačkala,"2,082","3,186","4,685",dagestan
Botlich [Botlikh],Ботлих,Village,Botlichskij Rajon,"10,397","12,159","11,944",dagestan
Bujnaksk [Buynaksk],Буйнакск,City,Bujnaksk,"61,437","62,623","68,121",dagestan
Burtunaj [Burtunay],Буртунай,Village,Kazbekovskij Rajon,"3,749","4,035","4,743",dagestan
Čapajevo [Chapayevo],Чапаево,Village,Novolakskij Rajon,"1,732","2,386","3,649",dagestan
Chadžalmachi [Khadzhalmakhi],Хаджалмахи,Village,Levašinskij Rajon,"5,687","6,187","7,429",dagestan
Chalimbekaul [Khalimbekaul],Халимбекаул,Village,Bujnakskij Rajon,"4,009","5,108","4,223",dagestan
Chamamatjurt [Khamamatyurt],Хамаматюрт,Village,Babajurtovskij Rajon,"4,610","4,682","5,456",dagestan
Chamavjurt [Khamavyurt],Хамавюрт,Village,Chasavjurtovskij Rajon,"2,783","3,178","3,644",dagestan
Chasavjurt [Khasavyurt],Хасавюрт,City,Chasavjurt,"121,817","131,187","155,144",dagestan
Chazar [Khazar],Хазар,Village,Derbentskij Rajon,"3,490","4,809","5,911",dagestan
Chučni [Khuchni],Хучни,Village,Tabasaranskij Rajon,"3,397","3,232","3,795",dagestan
Chunzach [Khunzakh],Хунзах,Village,Chunzachskij Rajon,"3,694","4,245","4,143",dagestan
Činar [Chinar],Чинар,Village,Derbentskij Rajon,"4,357","5,227","4,718",dagestan
Čirkej [Chirkey],Чиркей,Village,Bujnakskij Rajon,"7,434","8,676","10,098",dagestan
Čoch [Chokh],Чох,Village,Gunibskij Rajon,"2,746","3,223","3,332",dagestan
Čontaul [Chontaul],Чонтаул,Village,Kiziljurtovskij Rajon,"7,698","7,023","7,339",dagestan
Cvetkovka [Tsvetkovka],Цветковка,Village,Kizljarskij Rajon,"2,341","3,767","4,547",dagestan
Dagestanskije Ogni [Dagestanskiye Ogni],Дагестанские Огни,City,Dagestanskije Ogni,"26,346","27,923","31,412",dagestan
Derbent,Дербент,City,Derbent,"101,031","119,200","124,953",dagestan
Dorgeli,Доргели,Village,Karabudachkentskij Rajon,"4,843","5,783","8,375",dagestan
Družba [Druzhba],Дружба,Village,Kajakentskij Rajon,"3,382","3,675","4,006",dagestan
Dubki,Дубки,Urban Settlement,Kazbekovskij Rajon,"5,208","5,202","5,632",dagestan
Dylym,Дылым,Village,Kazbekovskij Rajon,"7,537","8,640","9,731",dagestan
Džemikent [Dzhemikent],Джемикент,Village,Derbentskij Rajon,"2,337","2,555","3,102",dagestan
Èminchjur [Eminkhyur],Эминхюр,Village,Sulejman-Stal'skij Rajon,"3,402","3,821","3,215",dagestan
Èndirej [Endirey],Эндирей,Village,Chasavjurtovskij Rajon,"6,470","7,437","9,373",dagestan
Èrpeli [Erpeli],Эрпели,Village,Bujnakskij Rajon,"3,380","3,412","4,358",dagestan
Gagatli,Гагатли,Village,Botlichskij Rajon,"3,215","3,539","3,720",dagestan
Gamijach [Gamiyakh],Гамиях,Village,Novolakskij Rajon,"2,106","2,528","4,150",dagestan
Gapcach [Gaptsakh],Гапцах,Village,Magaramkentskij Rajon,"3,270","3,554","3,381",dagestan
Gedžuch [Gedzhukh],Геджух,Village,Derbentskij Rajon,"6,367","6,829","6,758",dagestan
Geli,Гели,Village,Karabudachkentskij Rajon,"4,843","2,798","3,428",dagestan
Gerejchanovskoje [Gereykhanovskoye],Герейхановское,Village,Sulejman-Stal'skij Rajon,"3,193","3,490","3,337",dagestan
Gerga,Герга,Village,Kajakentskij Rajon,"3,529","3,913","4,064",dagestan
Gergebil',Гергебиль,Village,Gergebil'skij Rajon,"4,770","5,195","4,818",dagestan
Gimry,Гимры,Village,Uncukul'skij Rajon,"3,362","4,654","5,168",dagestan
Godoberi,Годобери,Village,Botlichskij Rajon,"2,683","3,049","3,420",dagestan
Gubden,Губден,Village,Karabudachkentskij Rajon,"7,470","8,627","10,135",dagestan
Guni,Гуни,Village,Kazbekovskij Rajon,"2,544","3,101","3,315",dagestan
Gurbuki,Гурбуки,Village,Karabudachkentskij Rajon,"4,289","5,322","7,022",dagestan
Izberbaš [Izberbash],Избербаш,City,Izberbaš,...,"55,646","55,996",dagestan
Južno-Suchokumsk [Yuzhno-Sukhokumsk],Южно-Сухокумск,City,Južno-Suchokumsk,"9,777","10,035","10,503",dagestan
Kafyr-Kumuch [Kafyr-Kumukh],Кафыр-Кумух,Village,Bujnakskij Rajon,"3,992","5,107","5,958",dagestan
Kajakent [Kayakent],Каякент,Village,Kajakentskij Rajon,"11,027","11,144","15,923",dagestan
Kakamachi [Kakamakhi],Какамахи,Village,Levašinskij Rajon,"2,474","2,647","3,234",dagestan
Kaka-Šura [Kaka-Shura],Кака-Шура,Village,Karabudachkentskij Rajon,"5,207","6,030","7,986",dagestan
Kalininaul,Калининаул,Village,Kazbekovskij Rajon,"4,439","4,531","5,753",dagestan
Karabudachkent [Karabudakhkent],Карабудахкент,Village,Karabudachkentskij Rajon,"12,336","15,356","20,710",dagestan
Karamachi [Karamakhi],Карамахи,Village,Bujnakskij Rajon,"3,647","4,537","3,916",dagestan
Karata,Карата,Village,Achvachskij Rajon,"4,519","4,153","5,093",dagestan
Karlanjurt [Karlanyurt],Карланюрт,Village,Chasavjurtovskij Rajon,"2,910","3,335","3,957",dagestan
Kaspijsk [Kaspiysk],Каспийск,City,Kaspijsk,"77,650","100,129","121,140",dagestan
Kasumkent,Касумкент,Village,Sulejman-Stal'skij Rajon,"11,419","13,232","12,502",dagestan
Kikuni,Кикуни,Village,Gergebil'skij Rajon,"2,897","3,224","4,053",dagestan
Kirovaul,Кироваул,Village,Kiziljurtovskij Rajon,"2,801","2,174","3,359",dagestan
Kiziljurt [Kizilyurt],Кизилюрт,City,Kiziljurt,"30,264","32,988","38,335",dagestan
Kizljar [Kizlyar],Кизляр,City,Kizljar,"48,457","48,984","49,999",dagestan
Kjachulaj [Kyakhulay],Кяхулай,Urban Settlement,Machačkala,"5,353","6,962","7,398",dagestan
Kočubej [Kochubey],Кочубей,Village,Tarumovskij Rajon,"6,366","7,272","8,265",dagestan
Kokrek,Кокрек,Village,Chasavjurtovskij Rajon,"3,905","4,807","5,168",dagestan
Komsomol'skij [Komsomolsky],Комсомольский,Urban Settlement,Kizljar,"2,567","2,723","2,503",dagestan
Komsomol'skoje [Komsomolskoye],Комсомольское,Village,Kiziljurtovskij Rajon,"8,136","6,983","8,613",dagestan
Korkmaskala,Коркмаскала,Village,Kumtorkalinskij Rajon,"5,980","7,722","10,805",dagestan
Kostek,Костек,Village,Chasavjurtovskij Rajon,"3,864","4,551","6,394",dagestan
Krasnoarmejskoje [Krasnoarmeyskoye],Красноармейское,Village,Machačkala,"2,923","3,961","5,770",dagestan
Kubači [Kubachi],Кубачи,Village,Dachadajevskij Rajon,"2,781","3,060","3,049",dagestan
Kurach [Kurakh],Курах,Village,Kurachskij Rajon,"3,142","3,235","3,444",dagestan
Kurkent,Куркент,Village,Sulejman-Stal'skij Rajon,"3,011","4,071","3,960",dagestan
Kuruš [Kurush],Куруш,Village,Chasavjurtovskij Rajon,"7,292","7,327","7,090",dagestan
Leninaul,Ленинаул,Village,Kazbekovskij Rajon,"7,008","8,340","10,494",dagestan
Leninkent,Ленинкент,Urban Settlement,Machačkala,"12,995","15,532","19,438",dagestan
Levaši [Levashi],Леваши,Village,Levašinskij Rajon,"7,302","10,011","11,128",dagestan
Maali,Маали,Village,Gergebil'skij Rajon,"2,296","2,923","3,454",dagestan
Machačkala [Makhachkala],Махачкала,City,Machačkala,"462,412","572,076","623,254",dagestan
Madžalis [Madzhalis],Маджалис,Village,Kajtagskij Rajon,"5,766","6,815","6,659",dagestan
Magaramkent,Магарамкент,Village,Magaramkentskij Rajon,"6,266","6,953","5,756",dagestan
Majdanskoje [Maydanskoye],Майданское,Village,Uncukul'skij Rajon,"1,872","2,641","3,065",dagestan
Mamedkala,Мамедкала,Urban Settlement,Derbentskij Rajon,"8,374","11,029","10,912",dagestan
Manas,Манас,Urban Settlement,Karabudachkentskij Rajon,"4,872","5,357","6,696",dagestan
Manaskent,Манаскент,Village,Karabudachkentskij Rajon,"4,275","4,994","6,583",dagestan
Miatli,Миатли,Village,Kiziljurtovskij Rajon,"4,132","4,022","4,937",dagestan
Miskindža [Miskindzha],Мискинджа,Village,Dokuzparinskij Rajon,"3,373","3,522","3,468",dagestan
Mjurego [Myurego],Мюрего,Village,Sergokalinskij Rajon,"4,248","4,228","3,877",dagestan
Mucalaul [Mutsalaul],Муцалаул,Village,Chasavjurtovskij Rajon,"5,809","6,760","8,530",dagestan
Mugi,Муги,Village,Akušinskij Rajon,"3,154","3,372","3,052",dagestan
Muni,Муни,Village,Botlichskij Rajon,"2,763","3,220","3,400",dagestan
Naskent,Наскент,Village,Levašinskij Rajon,"2,523","2,949","3,254",dagestan
Nečajevka [Nechayevka],Нечаевка,Village,Kiziljurtovskij Rajon,"6,396","4,779","6,327",dagestan
Nižneje Kazanišče [Nizhneye Kazanishche],Нижнее Казанище,Village,Bujnakskij Rajon,"10,989","12,871","16,984",dagestan
Nižnij Džalgan [Nizhny Dzhalgan],Нижний Джалган,Village,Derbentskij Rajon,"2,139","2,841","3,192",dagestan
Nižnij Džengutaj [Nizhny Dzhengutay],Нижний Дженгутай,Village,Bujnakskij Rajon,"6,959","7,519","6,911",dagestan
Novaja Maka [Novaya Maka],Новая Мака,Village,Sulejman-Stal'skij Rajon,"4,245","3,706","3,791",dagestan
Novogagatli,Новогагатли,Village,Chasavjurtovskij Rajon,"4,314","4,782","5,956",dagestan
Novokajakent [Novokayakent],Новокаякент,Village,Kajakentskij Rajon,"5,596","5,130","5,952",dagestan
Novolakskoje [Novolakskoye],Новолакское,Village,Novolakskij Rajon,"4,169","5,951","6,788",dagestan
Novomechel'ta [Novomekhelta],Новомехельта,Village,Novolakskij Rajon,"1,702","2,608","3,162",dagestan
Novosel'skoje [Novoselskoye],Новосельское,Village,Chasavjurtovskij Rajon,"2,919","2,941","3,280",dagestan
Novyj Chušet [Novy Khushet],Новый Хушет,Village,Machačkala,"7,390","11,371","14,180",dagestan
Novyj Čirkej [Novy Chirkey],Новый Чиркей,Village,Kiziljurtovskij Rajon,"7,058","5,922","7,708",dagestan
Novyje Vikri [Novye Vikri],Новые Викри,Village,Kajakentskij Rajon,"2,838","3,338","4,495",dagestan
Novyj Kjachulaj [Novy Kyakhulay],Новый Кяхулай,Urban Settlement,Machačkala,"6,983","9,875","8,002",dagestan
Novyj Kostek [Novy Kostek],Новый Костек,Village,Chasavjurtovskij Rajon,"3,736","4,524","5,502",dagestan
Novyj Sulak [Novy Sulak],Новый Сулак,Urban Settlement,Kiziljurt,"5,094","3,423","4,079",dagestan
Nuradilovo,Нурадилово,Village,Chasavjurtovskij Rajon,"3,149","3,963","5,247",dagestan
Paraul,Параул,Village,Karabudachkentskij Rajon,"3,996","4,949","9,151",dagestan
Pervomajskoje [Pervomayskoye],Первомайское,Village,Kajakentskij Rajon,"8,475","8,930","7,418",dagestan
Petrakovskoje [Petrakovskoye],Петраковское,Village,Chasavjurtovskij Rajon,"1,982","2,963","4,467",dagestan
Pokrovskoje [Pokrovskoye],Покровское,Village,Chasavjurtovskij Rajon,"3,575","4,122","5,053",dagestan
Rachata [Rakhata],Рахата,Village,Botlichskij Rajon,"2,540","2,909","3,375",dagestan
Rutul,Рутул,Village,Rutul'skij Rajon,"3,958","4,132","4,037",dagestan
Sabnova,Сабнова,Village,Derbentskij Rajon,"3,361","3,820","3,416",dagestan
Šamchal [Shamkhal],Шамхал,Urban Settlement,Machačkala,"7,823","11,855","11,057",dagestan
Šamchal-Termen [Shamkhal-Termen],Шамхал-Термен,Village,Machačkala,"5,393","10,260","8,719",dagestan
Šamil'kala [Shamilkala],Шамилькала,Urban Settlement,Uncukul'skij Rajon,"7,064","4,886","5,189",dagestan
Semender,Семендер,Urban Settlement,Machačkala,"7,558","13,677","15,565",dagestan
Sergokala,Сергокала,Village,Sergokalinskij Rajon,"7,627","8,143","8,803",dagestan
Sirtič [Sirtich],Сиртич,Village,Tabasaranskij Rajon,"3,909","3,976","3,871",dagestan
Siuch [Siukh],Сиух,Village,Chasavjurtovskij Rajon,"3,199","3,313","4,567",dagestan
Solnečnoje [Solnechnoye],Солнечное,Village,Chasavjurtovskij Rajon,"3,759","4,501","5,495",dagestan
Sovetskoje [Sovetskoye],Советское,Village,Magaramkentskij Rajon,"3,926","4,217","4,310",dagestan
Stal'skoje [Stalskoye],Стальское,Village,Kiziljurtovskij Rajon,"6,104","5,729","6,252",dagestan
Sulak,Сулак,Urban Settlement,Machačkala,"6,352","8,565","9,793",dagestan
Sultan-Jangi-Jurt [Sultan-Yangi-Yurt],Султан-Янги-Юрт,Village,Kiziljurtovskij Rajon,"10,562","8,579","10,043",dagestan
Šušanovka [Shushanovka],Шушановка,Village,Kiziljurtovskij Rajon,"1,600","1,854","3,442",dagestan
Tarki,Тарки,Urban Settlement,Machačkala,"9,858","15,356","18,233",dagestan
Tarumovka,Тарумовка,Village,Tarumovskij Rajon,"4,899","5,372","6,537",dagestan
Teletl',Телетль,Village,Šamil'skij Rajon,"2,860","3,551","3,313",dagestan
Temiraul,Темираул,Village,Chasavjurtovskij Rajon,"3,111","3,771","4,213",dagestan
Terekli-Mekteb,Терекли-Мектеб,Village,Nogajskij Rajon,"7,285","7,993","6,728",dagestan
Tjube [Tyube],Тюбе,Urban Settlement,Kumtorkalinskij Rajon,"6,040","6,496","6,403",dagestan
Tloch [Tlokh],Тлох,Village,Botlichskij Rajon,"2,818","2,739","3,774",dagestan
Toturbijkala [Toturbykala],Тотурбийкала,Village,Chasavjurtovskij Rajon,"2,305","2,843","3,724",dagestan
Tuchčar [Tukhchar],Тухчар,Village,Novolakskij Rajon,"2,814","3,567","3,745",dagestan
Učkent [Uchkent],Учкент,Village,Kumtorkalinskij Rajon,"3,157","3,702","4,996",dagestan
Ucmijurt [Utsmiyurt],Уцмиюрт,Village,Babajurtovskij Rajon,"3,236","3,541","4,730",dagestan
Ulluaja [Ulluaya],Уллуая,Village,Levašinskij Rajon,"5,516","5,962","7,127",dagestan
Ullubijaul [Ullubyaul],Уллубийаул,Village,Karabudachkentskij Rajon,"3,423","3,666","4,820",dagestan
Uncukul' [Untsukul],Унцукуль,Village,Uncukul'skij Rajon,"5,523","6,274","6,641",dagestan
Urkarach [Urkarakh],Уркарах,Village,Dachadajevskij Rajon,"5,182","4,394","4,673",dagestan
Urma,Урма,Village,Levašinskij Rajon,"3,283","3,863","4,488",dagestan
Usiša [Usisha],Усиша,Village,Akušinskij Rajon,"4,149","3,932","3,978",dagestan
Utamyš [Utamysh],Утамыш,Village,Kajakentskij Rajon,"3,469","3,634","3,027",dagestan
Velikent,Великент,Village,Derbentskij Rajon,"3,755","4,202","4,339",dagestan
Verchneje Kazanišče [Verkhneye Kazanishche],Верхнее Казанище,Village,Bujnakskij Rajon,"6,019","6,573","9,048",dagestan
Zubutli-Miatli,Зубутли-Миатли,Village,Kiziljurtovskij Rajon,"4,594","4,529","5,215",dagestan
Alchasty [Alkhasty],Алхасты,Village,Sunženskij Rajon,"3,651","4,021","4,787",ingushetia
Ali-Jurt [Ali-Yurt],Али-Юрт,Village,Nazranovskij Rajon,"6,882","5,596","6,366",ingushetia
Barsuki,Барсуки,Village,Nazranovskij Rajon,"10,189","10,333","7,601",ingushetia
Dolakovo,Долаково,Village,Nazranovskij Rajon,"9,058","6,450","6,813",ingushetia
Èkaževo [Ekazhevo],Экажево,Village,Nazranovskij Rajon,"23,156","15,658","27,224",ingushetia
Galaški [Galashki],Галашки,Village,Sunženskij Rajon,"6,279","6,662","7,285",ingushetia
Inarki,Инарки,Village,Malgobekskij Rajon,"7,152","5,885","7,383",ingushetia
Jandare [Yandare],Яндаре,Village,Nazranovskij Rajon,"10,631","7,980","9,999",ingushetia
Kantyševo [Kantyshevo],Кантышево,Village,Nazranovskij Rajon,"15,737","15,706","16,783",ingushetia
Karabulak,Карабулак,City,Karabulak,"31,279","30,961","43,037",ingushetia
Magas,Магас,City,Magas,275,"2,502","15,271",ingushetia
Malgobek,Малгобек,City,Malgobek,"41,876","31,018","36,480",ingushetia
Nazran',Назрань,City,Nazran',"125,066","93,335","122,350",ingushetia
Nesterovskaja [Nesterovskaya],Нестеровская,Stanitsa,Sunženskij Rajon,"17,389","21,937","17,981",ingushetia
Nižnije Ačaluki [Nizhniye Achaluki],Нижние Ачалуки,Village,Malgobekskij Rajon,"4,756","4,375","4,985",ingushetia
Novyj Redant [Novy Redant],Новый Редант,Village,Malgobekskij Rajon,"4,523","3,689","6,284",ingushetia
Plijevo [Pliyevo],Плиево,Village,Nazranovskij Rajon,"13,892","13,685","16,440",ingushetia
Psedach [Psedakh],Пседах,Village,Malgobekskij Rajon,"6,312","4,606","6,066",ingushetia
Sagopši [Sagopshi],Сагопши,Village,Malgobekskij Rajon,"10,738","10,048","12,663",ingushetia
Srednije Ačaluki [Sredniye Achaluki],Средние Ачалуки,Village,Malgobekskij Rajon,"5,114","2,949","4,840",ingushetia
Sunža [Sunzha],Сунжа,City,Sunža,"65,112","61,598","62,078",ingushetia
Surchachi [Surkhakhi],Сурхахи,Village,Nazranovskij Rajon,"14,696","10,628","13,153",ingushetia
Troickaja [Troitskaya],Троицкая,Stanitsa,Sunženskij Rajon,"21,521","16,225","23,078",ingushetia
Zjazikov-Jurt [Zyazikov-Yurt],Зязиков-Юрт,Village,Malgobekskij Rajon,"2,737","4,027","4,653",ingushetia
Aleksejevsk [Alexeyevsk],Алексеевск,Urban Settlement,Kirenskij Rajon,"3,164","2,529","1,852",irkustsk
Alzamaj [Alzamay],Алзамай,City,Nižneudinskij Rajon,"7,383","6,730","5,373",irkustsk
Angarsk,Ангарск,City,Angarsk,"251,176","233,567","221,296",irkustsk
Artëmovskij [Artyomovsky],Артёмовский,Urban Settlement,Bodajbinskij Rajon,"2,185","1,539",910,irkustsk
Atagaj [Atagay],Атагай,Urban Settlement,Nižneudinskij Rajon,"1,853","1,740","1,336",irkustsk
Bajkal'sk [Baykalsk],Байкальск,City,Sljudjanskij Rajon,"15,727","13,583","13,199",irkustsk
Baklaši [Baklashi],Баклаши,Village,Šelechovskij Rajon,"2,306","3,730","8,869",irkustsk
Balachninskij [Balakhninsky],Балахнинский,Urban Settlement,Bodajbinskij Rajon,"1,720","1,300",925,irkustsk
Balagansk,Балаганск,Rural Settlement,Balaganskij Rajon,"4,307","4,109","3,811",irkustsk
Belorečenskij [Belorechensky],Белореченский,Urban Settlement,Usol'skij Rajon,"8,458","7,984","7,598",irkustsk
Birjusinsk [Biryusinsk],Бирюсинск,City,Tajšetskij Rajon,"10,004","8,981","8,632",irkustsk
Bochan [Bokhan],Бохан,Rural Settlement,Bochanskij Rajon,"5,425","5,169","5,127",irkustsk
Bodajbo [Bodaybo],Бодайбо,City,Bodajbinskij Rajon,"16,504","15,340","8,921",irkustsk
Bol'šaja Rečka [Bolshaya Rechka],Большая Речка,Urban Settlement,Irkutskij Rajon,"2,431","2,627","2,715",irkustsk
Bol'šoj Lug [Bolshoy Lug],Большой Луг,Rural Settlement,Šelechovskij Rajon,"4,508","5,015","4,472",irkustsk
Bratsk,Братск,City,Bratsk,"259,335","246,319","224,071",irkustsk
Čeremchovo [Cheremkhovo],Черемхово,City,Čeremchovo,"60,107","52,647","53,958",irkustsk
Chomutovo [Khomutovo],Хомутово,Village,Irkutskij Rajon,"5,049","7,528","15,064",irkustsk
Chrebtovaja [Khrebtovaya],Хребтовая,Urban Settlement,Nižneilimskij Rajon,"2,071","1,502","1,037",irkustsk
Čunskij [Chunsky],Чунский,Urban Settlement,Čunskij Rajon,"16,630","14,996","13,554",irkustsk
Dzeržinsk [Dzerzhinsk],Дзержинск,Rural Settlement,Irkutskij Rajon,"1,510","2,277","4,749",irkustsk
Granovščina [Granovshchina],Грановщина,Hamlet,Irkutskij Rajon,635,"1,279","8,302",irkustsk
Irkutsk,Иркутск,City,Irkutsk,"593,604","587,891","617,264",irkustsk
Jangel' [Yangel],Янгель,Urban Settlement,Nižneilimskij Rajon,"1,000","1,042",878,irkustsk
Jantal' [Yantal],Янталь,Urban Settlement,Ust'-Kutskij Rajon,"2,446","1,792","1,453",irkustsk
Jelancy [Yelantsy],Еланцы,Village,Ol'chonskij Rajon,"3,762","4,009","4,488",irkustsk
Jurty [Yurty],Юрты,Urban Settlement,Tajšetskij Rajon,"6,059","5,301","5,090",irkustsk
Kačug [Kachug],Качуг,Urban Settlement,Kačugskij Rajon,"7,733","7,011","6,421",irkustsk
Karluk,Карлук,Hamlet,Irkutskij Rajon,"1,816","2,572","4,950",irkustsk
Kirensk,Киренск,City,Kirenskij Rajon,"13,712","12,640","10,998",irkustsk
Kropotkin,Кропоткин,Urban Settlement,Bodajbinskij Rajon,"1,812","1,335","1,036",irkustsk
Kujtun [Kuytun],Куйтун,Urban Settlement,Kujtunskij Rajon,"10,847","10,097","9,838",irkustsk
Kultuk,Култук,Urban Settlement,Sljudjanskij Rajon,"4,262","3,728","3,408",irkustsk
Kunerma,Кунерма,Rural Settlement,Kazačinsko-Lenskij Rajon,161,59,25,irkustsk
Kutulik,Кутулик,Rural Settlement,Alarskij Rajon,"5,429","4,884","5,101",irkustsk
Kvitok,Квиток,Urban Settlement,Tajšetskij Rajon,"3,239","2,877","2,656",irkustsk
Lesogorsk,Лесогорск,Urban Settlement,Čunskij Rajon,"5,964","5,511","4,260",irkustsk
Listvjanka [Listvyanka],Листвянка,Urban Settlement,Irkutskij Rajon,"1,745","1,882","1,936",irkustsk
Lugovskij [Lugovsky],Луговский,Urban Settlement,Mamsko-Čujskij Rajon,633,503,397,irkustsk
Magistral'nyj [Magistralny],Магистральный,Urban Settlement,Kazačinsko-Lenskij Rajon,"7,627","7,067","5,804",irkustsk
Maksimovščina [Maksimovshchina],Максимовщина,Village,Irkutskij Rajon,"1,125","1,682","4,232",irkustsk
Mama,Мама,Urban Settlement,Mamsko-Čujskij Rajon,"4,352","3,630","2,556",irkustsk
Mamakan,Мамакан,Urban Settlement,Bodajbinskij Rajon,"2,288","2,068","1,768",irkustsk
Mamony,Мамоны,Village,Irkutskij Rajon,"1,642","3,154","7,272",irkustsk
Markova,Маркова,Urban Settlement,Irkutskij Rajon,"6,509","9,894","36,971",irkustsk
Meget,Мегет,Rural Settlement,Angarsk,"8,593","8,828","8,605",irkustsk
Michajlovka [Mikhaylovka],Михайловка,Urban Settlement,Čeremchovskij Rajon,"8,148","7,827","7,489",irkustsk
Mišelëvka [Mishelevka],Мишелёвка,Urban Settlement,Usol'skij Rajon,"7,729","7,789","4,740",irkustsk
Molodëžnyj [Molodyozhny],Молодёжный,Rural Settlement,Irkutskij Rajon,"1,259","6,640","9,219",irkustsk
Nižneudinsk [Nizhneudinsk],Нижнеудинск,City,Nižneudinskij Rajon,"39,624","36,999","29,995",irkustsk
Novaja Igirma [Novaya Igirma],Новая Игирма,Urban Settlement,Nižneilimskij Rajon,"10,965","10,161","9,137",irkustsk
Novobirjusinskij [Novobiryusinsky],Новобирюсинский,Urban Settlement,Tajšetskij Rajon,"4,984","4,767","3,489",irkustsk
Novonukutskij [Novonukutsky],Новонукутский,Rural Settlement,Nukutskij Rajon,"3,143","3,434","3,505",irkustsk
Ojëk [Oyok],Оёк,Village,Irkutskij Rajon,"3,470","3,678","3,861",irkustsk
Oktjabr'skij [Oktyabrsky],Октябрьский,Urban Settlement,Čunskij Rajon,"5,865","5,415","3,197",irkustsk
Olcha [Olkha],Олха,Hamlet,Šelechovskij Rajon,"1,301","1,744","3,047",irkustsk
Osa,Оса,Village,Osinskij Rajon,"4,486","4,523","4,939",irkustsk
Pad' Mel'ničnaja [Pad Melnichnaya],Падь Мельничная,Rural Settlement,Irkutskij Rajon,308,"1,139","4,706",irkustsk
Pivovaricha [Pivovarikha],Пивовариха,Village,Irkutskij Rajon,"2,434","3,506","4,847",irkustsk
Radiščev [Radishchev],Радищев,Urban Settlement,Nižneilimskij Rajon,"1,310","1,140",893,irkustsk
Rudnogorsk,Рудногорск,Urban Settlement,Nižneilimskij Rajon,"4,559","3,620","2,634",irkustsk
Sajansk [Sayansk],Саянск,City,Sajansk,"43,468","40,800","35,561",irkustsk
Šelechov [Shelekhov],Шелехов,City,Šelechovskij Rajon,"47,520","47,943","41,998",irkustsk
Šestakovo [Shestakovo],Шестаково,Rural Settlement,Nižneilimskij Rajon,"1,113",772,463,irkustsk
Šitkino [Shitkino],Шиткино,Urban Settlement,Tajšetskij Rajon,"2,426","1,966","1,574",irkustsk
Sljudjanka [Slyudyanka],Слюдянка,City,Sljudjanskij Rajon,"19,118","18,574","18,058",irkustsk
Smolenščina [Smolenshchina],Смоленщина,Village,Irkutskij Rajon,"2,387","3,214","5,899",irkustsk
Srednij [Sredny],Средний,Urban Settlement,Usol'skij Rajon,"5,268","5,352","4,895",irkustsk
Šumskij [Shumsky],Шумский,Urban Settlement,Nižneudinskij Rajon,"3,177","2,767","1,451",irkustsk
Svirsk,Свирск,City,Svirsk,"15,500","13,650","15,485",irkustsk
Tajšet [Tayshet],Тайшет,City,Tajšetskij Rajon,"38,535","35,485","34,491",irkustsk
Tajturka [Tayturka],Тайтурка,Urban Settlement,Usol'skij Rajon,"5,236","4,892","5,045",irkustsk
Tel'ma [Telma],Тельма,Urban Settlement,Usol'skij Rajon,"4,129","4,576","4,869",irkustsk
Tulun,Тулун,City,Tulun,"51,848","44,611","38,440",irkustsk
